title	age_gender	question	date	answer	answer2	answer3	answer4
Min bedste veninde er ved at blive kærester med min storebror	Pige   14 år	"Jeg fandt ud af at de havde skrevet og snappet sammen i 3 dage på daværende tidspunkt.

Det var nytårsaften og jeg havde 2 vendinder på besøg og min sb havde 1 på besøg."	01-Jan-17	"Heii.

Vi er to piger der forstår dig rigtig dybt.

Det ka' virkelig være svært når der er to menesker du elsker rigtig dybt, Finder kærlighed;)

Det er godt du også tænker på din bv og sb.

Vi syntes det ville være en god ide at  prøve at tage en snak med dem, det behøves ik' at være en samtale med begge på samme tid, det ka også være din mor og far, en anden veninde eller en anden familie medlem<3"	snak med din bror. du kan også se det på den lyse side måske kan du blive tættere med din bror altså bedre venner hvis du forstår altså hvis de kommer sammen. ulempen med at de kommer sammen er hvis de går fra hinanden mister du din veninde	"Heej!!

Tror ik du skal tænke så meget over det, men bare prøv at håbe på det bedste for dem♡♡

Knus pigen der kender en del til det med forhold!!"	"Hej søde

Kan godt se det er et problem for dig, da pigen er din bedste veninde. Ét af problemerne med de to, der kommer sammen, kan være at du vil eller kan komme til at føle dig overset. Hun er jo trods alt din veninde, og det var dermed sikkert nok dig, som hun kendte først. Et andet af problemerne er, hvis der sker noget mellem dem. Jeg kender ikke din bror, og ved ikke hvad han kan finde på (eller hvad hun kan finde på, for den sags skyld.) Men hvis man evt forestiller sig, at han var hende utro og knuste hendes hjerte fuldstændig - hvordan reagerer man så lige?

Jeg synes du skal vente og se, indtil de måske kommer sammen. Hvis de gør, burde du måske tage en snak med dem, og fortælle dem at du synes det er træls, hvis hun bliver kærestekedelig og dermed kun er sammen med ham, når hun er hjemme ved dig.

Oveni det, så har jeg prøvet det før - og det kan være MEGET træls, med alle de informationer din bedste veninde kan give dig, om din bror for at sige det på den måde......

Men ja, held og lykke med det fremover, jeg håber virkeligt du er okay og at det ikke går dig for meget på

knus"
Jalousien tager over	Pige   13 år	"Jeg ved ikke hvorfor, og det er mega irriterende.

Der sker det samme når mine to bedste veninder er sammen uden mig, og jeg ved slet ikke hvad jeg skal gøre."	07 Marts 2016	"Hej..

Jeg kender til fulde det der med at være jaloux. Det føles som om, der er nogen der stikker en i hjertet, men det er bare jalousi.

Egentlig tror jeg ikke der er noget at gøre mod jalousi. Jeg har i hvert fald endnu ikke fundet noget der hjælper fuldstændig mod jalousi. Jeg plejer bare at skrive til personen jeg savner eller er jaloux omkring. Men ellers kan jeg anbefale at snakke med en person du stoler på, som du kan kan betro dig til..

Jeg håber du kommer jalousien til livs.

Mange kram."	Hej vi kan godt forstå at du bliver jaloux vi tænker du kan prøve at snakke med din kæreste om det så kan det være at i kunne få en god samtale hilsen flora og Clara	"Hej pige,

Jeg kender det udmærket godt! Det der med at føle at man ikke er en del af et fællesskab eller et venskab som man rigtig godt kunne tænke sig at være med i!

Jeg kan godt forstå at du bliver jaloux når din kæreste er sammen med andre piger.

Men jeg tror han har det på præcis samme måde når du er sammen med nogle drenge fra din klasse. Og så tror jeg egentligt bare at du må acceptere at han har nogle andre venner og veninder som han gerne vil være sammen med, ligesom du nok også har nogle.

I forhold til det med dine veninder har jeg oplevet det, og oplever det stadig! Og det er lidt det samme med kæresten. Man må simpelthen bare acceptere det.

Men hvis det bliver for meget med din kæreste og han fx begynder at flirte med pigerne, synes jeg at du lige skal snakke med ham, og fortælle hvordan du har det. Så skal han nok forstå det!

Håber du kan bruge mine råd!

Knus<3"	"Hej.

Jeg kender selv alt for godt din situation. Jeg har dog ikke en kæreste, men kender det med veninden.

Det bedste råd jeg kan give, er at stole på dem. Du må huske at stole på at din kæreste, og stole på at han ikke er sammen med andre piger på ""kæreste måden"". Hvis det er at du stadig bliver meget jaloux på din kæreste, så prøv at snakke med dem. Hvis de er dine ægte veninder, vil de sikkert forstå dig :)

Håber det var svar nok :)

Masser knuser herfra!"
Sex? Pubertet  ? Kærester?	15 år		10 Juni 2017	gør det vis du vil. jeg kender en på 14 der har haft sex så gør det vis du vil	"jeg syntes du bare skal vente til den rette kommer, du skal ikke haste dig selv med at få en det er helt normalt ikke har en kæreste eller har haft en kæreste endnu."	"Sex er meget individuelt, og jeg vil råde dig til ikke at tænke for meget over hvad den ""rigtige"" alder til at have sex. Hvis du ved, allerede nu at du er klar til at have sex er det vel den ""rigtige"" alder for dig. Og mht. kærester de skal nok komme"	Man kan sagtens vente. Og (sex) har ingen former for alder
HJælp mig	Dreng   14 år	"Jeg har ødelagt min bedste vens og mit venskab. Hun er en pige, som jeg godt kan lide."	16-Feb-17	sige undskyld til hende og sige du mener det.	"Jeg vil for det først sige at du ikke skal tænke så meget over det. Jeg tror bare at hun havet en dårlig dag det har nok slet ikke noget med dig at gøre. nu ved jeg ikke hvor gamel du er men hvis du er teenge alderen så er det normal at man bliver hurtigt sur. Du har ikke gjordt noget forkert. Hvis hun bliver sur over sådan en lille ting så skulle du måske overveje om i skal være veninder for nogle gange er det bare sådan at man ikke passer sammen og jeg hved at det er hårdt. Men det er dit valg hvis jeg havedet stået i din siduation så havet jeg nok været ked af det og bange men jeg havet tænkt over det og et venskab er være end kærste sorg så jeg havet nok tænkt over er det endelig fær at hun kan blive sur på mig eller skal bare finde mig i det.

Håber det hjælper

PS hved godt at det lyder overdrivet men jeg har en slags skole psykolog og hun er god at snakke med i sær om problemer og hun havet sagt det samme"	"Du kunne finde hende og snakke med hende... unden at det skulle være over en skærm, det ville måske hjælpe."	null
Mister selvtilliden på ask.fm	Pige   13 år	"Stay strong

anonym"	05 Oktober 2015	Ikke tænk på det. Slet ask.fm hvis det er for slemt. Husk på at du er perfekt som du er og at der er en der tænker godt om dig et sted. Og hvis dit crush ikke har skrevet noget om dig men om andre så er han da bare ikke god nok til dig. Stay Strong!	"hej søde

ask.fm er bare noget du ikke skal tage personligt, folk skriver det samme for ikke at blive drillet af andre, så hvis folk nævner din venide og ikke dig er det fordi folk er bange for hvad andre tænker om dem, ask er bare latterligt.

-Pigerne der er klar til at give gode råd"	Lad dem været du er helt sikkert smuk og fantastisk. Så ik brug tid på dem. Tænk på noget andet end dem de er ik det vær og et godt råd tænk at du er smukkere end alle andres og så går det nok det virkede for mig	"Hej, jeg er ked af at høre om dit problem. Drengene fra min klasse ville nok heller ikke sige, at jeg er en af de pæneste piger i klassen. Men du skal ikke tænke så meget over det. Det er kun dårligt og spild af tid. Hvis det er/bliver for slemt, synes jeg, at du bare skal slette ask.fm. Desuden betyder det ikke nødvendigvis, at dit crush ikke gengælder følelsen. Det er ikke umuligt, at han bare synes, at en anden er flot, men at du er helt, fantastisk sød. ;-) Sådan er der nok mange, der har det. Det er vel normalt, så du behøver vist ikke at bekymre dig om det."
Forelsket i min venindes Ex?	Pige   13 år	Jeg er en pige på 13 år. Jeg har længe været forelsket i en dreng i min klasse.	12 Juni 2017	Jeg har prøvet noget lignende det er forfærdeligt. det jeg gjodr var at vente til hun ikke talte om ham og så spurgte jeg om kæreste. Men selvfølgelig fløjtede jeg i mens. Det er mit råd. helv og lykke	"Hej derude

Jeg synes at du skal mande dig op, og sige til din veninde at du er vild med hendes ex. De er jo ikke kærester mere så hvis hun bliver sur, så har hun måske ikke liiige fået den rigtige fod ud af sengen...

Og så synes jeg også at du skal tænke på, at gøre dig slev lykkelig.  Det lyder jo som om i kommer godt ud af det med hinanden.

Håber du kan bruge det til noget.<3"	Hej pige på 13 år.	null
for genert...	Pige   14 år	mit dilemma er at jeg er for genert til at snakke med en fyr.	11-Nov-17	Hej jeg kan godt forstå dig men vis i har nårt lærne over SMS og sådan så kan jeg ik se at han ik vil snakke med dig du kan bare prøve og sige hej i skolen og prøv at køre en samtale	du skal bare invitere ham med hjem for skole for at hygge lidt	Kender det godt jeg her også en rigtig god ven og jeg kan lide ham men han kan også god lide mig og en anden og nu er jeg ked af det inden i men jeg sider det ikke til nogen	"Kender alt for godt følelsen, har også været rigtig genert engang og er stadig lidt. Men skriv fks til ham at du er genert og du er nervøs, drenge syntes ofte det er cute når piger er generte. Har lige selv mødtes med en dreng og var Mega genert, men da vi så begyndte at snakke sammen var det som om vi havde kendt hinanden i flere år. Så bare skriv at du gerne vil snakke med ham men er genert, så ved han det og tager hånd om det."
Er jeg god nok?	Pige   14 år	"Han bor lidt væk og vi har ik mødt hinanden endnu,men han skriver at jeg gør ham lykkelig og han elsker mig mere end noget andet."	04-Apr-16	"Hej! Jeg vil sige til dig at jeg syntes du skal passe på dig selv! Det kan være farligt at kontakte folk via nettet, folk kan meget let udgive sig for at være nogen de ikke er, men så længe at du er forsigtig er jeg sikker på at det nok skal gå. Da jeg var i din alder (jeg er 17 nu), skrev jeg også med fyre jeg havde mødt på nettet. Det er let at få en anden person til at føle sig special med ord, og især når det er nogen man ikke kender i virkeligheden. Jeg havde selv dårlig selvtillid, og havde meget svært ved at stole på når folk fortalte mig at jeg var sød og sjov. Men jeg har lært en hel del af mine oplevelser gennem tiden. Jeg har lært at man ikke skal lade sig narre af folk på nettet, og at man ikke skal være alt for godtroende når en person ""man egentlig ikke kender"", fortæller en hvor skøn og dejlig man er. Mit råd til dig er at jeg syntes, at selvom det virker meget skræmende, så ville jeg spørger ham, om ikke han har lyst til at i prøver at snakke i sammen, evt. på skype. En anden gang er det en rigtig god idé at møde personen inden der kommer for mange følelser indblandet, fordi når det forgår over tekst, kan det være rigtig svært at skældne mellem hvad der egentlig er virkelighed. For at komme tilbage til pointen, så skal du ikke være i tvivl om du er god nok. Det er jeg sikker på at du er. Om ham fyren så er den rigtige eller ej det må tiden vise, men du må ikke lade dig knække på grund af det. Du er en ung pige, og der kommer til at være mange fyre i dit liv, men du må endelig ikke være for ivrig, det kommer når det kommer. Jeg håber at du får snakket med fyren, og at han er lige så sød som når i skriver sammen. Men husk nu på, hvis ikke så op med hoved, og prøv igen en anden gang."	null	null	null
Jeg mangler en kæreste	Dreng   11 år	"Jeg har i flere år været på ""jagt"" efter en kæreste. Har spurgt alle i min klasse (pigerne). Ingen gider. Hvad skal jeg gøre?!"	23 Juli 2017	Bare rolig jeg er selv 11 og når man er så gammel så er man stadig ung bare vent du skal nok få en sød kæreste en dag og måske når pigerne fra din klasse bliver ældre gider de måske godt at have en kæreste☺️	"hej dreng på 11. jeg tror grunden til at ingen gider er fordi du spørger alle og er lidt lige glad med hvem det er du vil bare have en kæreste. jeg tror også at de andre tar det lidt i sjov når du spørger alle. prøv at vent så kommer det på et tidspunkt. det er heller ikke sjovt at have en kære som man ikke rigtig elsker, men har valgt fordi man vil have en kæretse. kan godt forstå dig, men vent nogle år (ved det bliver svært) så skal du nok finde en sød en som du virkelig elsker."	"Hej. Jeg kan godt forstå dig, jeg kan selv blive desperat nogle gange for at finde kærlighed. Men da jeg fandt ud af, at det er ikke det vigtigste i livet, blev jeg meget lettere. Hvorfor er det så vigtigt at have en kæreste når du er kun 11 år gammel? Du finder pigen når det mindst venter dig. Plus, at være i et forhold kræver mere ansvar end du tror. Du skal være en gentleman, forstå hinandens følelser, og have kemi. Det er ikke bare om at have en kæreste man kan kysse. Det kræver ansvar, og det er derfor jeg synes at det er bedste at vente med at få en kæreste når man er ældre, for det kræver ansvar som man ikke er gammel nok til at have. Så forstår man heller ikke helt endnu hvad et forhold er. Du har skole, venner og familie du skal tage dig af."	"kære dreng 11 år. jeg kan forstå at du gerne vil have en kæreste, og det er jo fint. jeg læser at du har spurgt alle pigerne fra klassen om kærester, og  overvejer om , men jeg ville sige at hvis du skal være kærester med nogen fra klassen under vil jeg sige at du først og fremmest lære den person at kende, og så skal du også have en god fornemmelse med hende."
Skal jeg være bekymret?	år	vi ved godt begge at vi har følelser for hinaden. men mit spørgsmål er at han lige pludselig er stoppet med at svare tilbage på mine beskeder!	04 maj 2015	"Snak med ham og se om det bare er en misforståelse, hvis du ikke kan komme til det så prøv at finde en måde at kommunikere på en anden måde. Men bare slap af for du er en af de heldige. Vi er nogen som aldrig oplever kærlighed og aldrig vil kunne sige at de er forelskede uden at lyve, sp bare slap af og stol på ham, det er den vigtigste del af et forhold."	Du kan bare ignorer det og hvis i går i samme klasse kan du jo bare snakke med ham om de ting han skal vide der sker når han skriver.	snak med ham i virkeligheden altså ikke skriv hvis i kan lide hinanden så få gang i noget...	"jeg syntes du skal sige det til ham hvorfor han ikke svare, hvis i begge har følelse for hinanden så tror jeg ikke der vil ske noget, det ville jeg gøre"
Månedsdag	Pige   12 år		13 Juni 2016	"Hejsa

1) Jeg synes du skulle tage ud i biografen og se en film ellers kan også se en film som i finder selv derhjemme så kan i også hygge lidt mens i ser den..............

2) Jeg synes ikke i skulle have sex nu fordi den sexuelle lavalder er 15 og din kæreste er kun 11 jeg synes i skulle vente til at i begge havde været kærester i 3 måneder hvis i stadig er sammen kan i jo tage det på banen igen"	Hej.	"Tag ud og spis?

Hygge dag?

Bio?

Sov sammen?

Gå en tur? osv.. Men JEG synes ikk i skal have sex endnu..

I er kun 12 og 11 var det sådan, kan allerede ikk huske det hahaha:D

Men sex grænsen i Danmark er 15 og op.. MEN det er vigtigt at i bare hygger jer sammen.. Håber da det bedste for jer i fremtiden?;D

ses"	null
Mistet min bedste veninde	Dreng   15 år	"Jeg havde haft følelser for hende, og jeg havde måske forventet at jeg kunne sammen med hende. Det endte det ikke med."	21 Oktober 2015	"Ærligt så står jeg lidt selv i samme situation lige nu :-)

Og jeg vil sige, at det bedste du kan gøre er, at du skal gøre op med dig selv om du kan lægge følelserne på hylden og så bare være hendes bedsteven..

Hvis du kan det, så synes jeg du skal tage en snak med hende, og fortælle hende at du ønsker hende det bedste for hende og hendes kæreste, og at du bare ønsker at være hendes bedsteven, og at I skal kunne have det lige så sjovt som I plejer :)"	"Ærligt så står jeg lidt selv i samme situation lige nu :-)
Og jeg vil sige, at det bedste du kan gøre er, at du skal gøre op med dig selv om du kan lægge følelserne på hylden og så bare være hendes bedsteven..
Hvis du kan det, så synes jeg du skal tage en snak med hende, og fortælle hende at du ønsker hende det bedste for hende og hendes kæreste, og at du bare ønsker at være hendes bedsteven, og at I skal kunne have det lige så sjovt som I plejer :)"	"Hej, jeg er en pige på 15 år.

Du kan spørge pigen om, hvorfor hun føler, at i ikke skal tale sammen og sige, at du føler det samme. Hvis pigen er helt klar over, at du er forelsket i hende, så kan du sige, at du er glad på hende og hendes kærestes vejne, og at du bare gerne vil være venner med hende og have, at tingene skal være som de plejede at være. Forklar hende, at du slet ikke prøver at skille hende og hendes kæreste ad osv.

Hel og lykke. :-)"	null
Forelskelse ?	Pige   12 år	"Der er den her dreng som går i min klasse. Han hedder , jeg tror at jeg er hel vild med ham, hver gang han snakker til mig kan jeg verken snakke eller bevæge mig, jeg får røde kinder... men her på det sidste har han lagt meget mærke til mig...han har forsvaret mig over for en af de andre drenge, han giver mig Highfive og kigger meget på mig."	25-Feb-17	Hej :)	"Hej

Prøv at begynde en samtale med ham på Facebook eller sådan noget, og se om han begynder at sende hjerter, fordi hvis han sender hjerter er der nok lidt i mellem jer (alt efter hvilken alder i er)

Ellers ved jeg ikke hvad du kan gøre, dsv. :("	"Hej, har selv prøvet et kunne lide en fra min klasse. Som oven i købet, var/er en af mine bedste venner. Men ja altså vi skrev meget sammen, og fik en ""flirt"". Og en af mine veninder som selv havde en kæreste, hang helt vildt op ad ham. Og vi stoppede med at ""have"" noget, pga jeg ikke kunne klare at se dem sammen. Det var nok det dummeste jeg nogensinde har gjort, så mit råd er at du skal prøve at sige det til ham."	"Hej. Jeg ved ik he,t hvor gammel du er..? Det har også ret meget at sige..

Hvis du skriver meget med drengen, SMS el. Facebook eller hvis i bare er sammen, kan du prøve at opfordre til fx. At lege s p el. k eller 20 spørgsmål (en leg hvor i for lov at spørge om hvad du har lyst til) kan du prøve efter et par runder prøve at spørge ind til den anden pige. Spørg måske: er der noget mellem dig og josephine? Eller har du nogensinde haft nogen følelser for mig?

Så for du lov at få det at vide på en naturlig måde.

Igen, jeg kender ikke din alder, men hvis han kommer med en ""dirty"" kommentar, betyder det helt sikkert også noget (medmindre han er en fuckboi.) eller hvis han sender hjerter eller flirtende kommentarer så er der helt sikkert noget."
Højde og drenge	Pige   15 år	"Jeg er en 15 årig pige som går i 8 klasse. Jeg er dog kun 1,63, og er den laveste pige i klassen :("	04-Sep-17	"Hejjjj:)

Jeg er en pige på 14,5 år og går i 8. klasse. Jeg er ca. 159  cm, og bliver højest 165 cm. Jeg kender næsten ingen på min alder der er lavere."	"Hej med dig! Jeg er selv en lav pige, som har haft præcis de samme tanker indtil 2-3 år siden hvor jeg begyndte at have mine første kærester."	"Hej

jeg er den yngste i min klasse og jeg er stadig høj,

Men en fra min klasse er meget lav og har en kæreste og hun er kun 147 cm.

Men mit bedste råd er at hver glad for den du er selvom du er lav"	"Hej

Jeg er en dreng på 14 og er 1.82 høj.

Personligt selv er jeg mere til piger som er under 1.70 og har flere venner som også er til lave piger, så derfor synes jeg ik du skal være nervøs. der er mange drenge der gerne vil have en ik så høj pige som der er mange drenge der gerne vil have en høj pige og tror også at hvis en dreng har følelser for dig så er han fuldstændig ligeglad med din højde

Hilsen drengen på 14"
HJÆLP tror jeg tænder på min lære	Dreng   13 år		04 Juni 2016	Det er helt normalt at være tiltrukket af sin lære især når man er i puberteten.	Hej der er ikke noget galt i at være forelsket.men jeg siger ikke at du ikke må. jeg syntes bare at du er lidt for ung til hende men når du bliver ældre kan du godt. og hvor gammel er din lærer	Jeg synes du skulle begynde og snakke med nogen andre fordi din lærer er forhåblig ikke på din alder du skal tænke på det ville være det samme som at være vild med din søster/ bros kæreste eller så kan du prøve og snakke lidt med pigerne fra vdin klasse	"Jeg tror hun bliver en glad kvinde hvis du fortæller hende det. Men der er selvfølgelig en risiko for at hun bliver sur, men jeg kender en som er meget vild med min lærer. Han sagde det til hende og hun blev slet ikke sur. Jeg synes du skal sige det :)"
Fortælle det	år	Jeg vil også gerne have at de ikke fortæller det til hele familien da det ikke er super seriøst endnu	07 maj 2015	Tror det svært af undgå det bare mandesig op og få det sagt eller vent til det bliver mere seriøst men vis førest siger det går der nok ikke længe før hele din familie ved det men det jo helt normalt du skal ikke være flov over af fået en kæreste	Jeg synes du burde sige det til dine foreldre og så kan di sige det vider til dine søskende	"Hej.❤️

- Synes du skal vente med at sige det til dine forældre, vent til det bliver mere seriøst. Ellers hvis du gerne vil have det sagt skal du sige til dem at du har fået en kæreste, men de skal ikke forvente det helt store i nu, da i næsten lige er kommet sammen og du ved ikke helt om det er seriøst i nu, er sikker på de vil forstå dig.❤️"	"Du kan tage at sige du har fået en kæreste, men lad vær med at sige hvem det så de ikke driller dig med det. Og så sig at de ikke skal drille dig med og at de ikke skal sige det til andre."
Forelsket	år		15-Aug-15	"hej jeg syntes du skal spørge ind til din ""VENINDE"" og spørge hende om hvor i står en vigtig ting er hun skal føle at hun kan stole på dig men det har jeg en fornemmelse af at hun godt kan. prøv bare at tage en snak meed hende og hvis det er svært kan du spørge over sms om hvor i står"	du kan spørge hende om hun vil være sammen og se hvordan det går	du kunne prøve at give hende en ring... eller noget og spørge foran hovedet på hende om hun vil være kærester med dig håber du kan bruge...	"Hej

når du fortæller at du er vild med hende, og at i har skrevet sammen i lang tid, så er hun vel også vild med dig...? Men når du siger at du gerne vil vide om hun ser dig som en ven eller mere, kunne du jo prøve at spørge hende når du syntes det er så bedst som muligt. Jeg kunne forstille mig at hun også er vild med dig, men gerne vil have at du selv finder ud af det.? Syntes at du skal prøve at snakke med hende, hun betyder jo tydeligvis meget/alt for dig:)"
Hemmeligt forhold	Pige   13 år	"Jeg er en pige på 13 og har en kæreste. Vi har været kærester i snart et halvt år nu.

Det er bare det at det har været hemmeligt i al den tid... Det er ham der vil have at det skal være hemmeligt og ikke mig."	25 Oktober 2016	Hej.	"Hej. 
Jeg kan godt se dit problem...
Jeg havde engang en kæreste som jeg holdte hemmeligt, indtil jeg følte jeg var klar til at fortælle det til nogen. :)
Så er måske på din kærestes side.
Men når det så er sagt.... 1/2 år har i været sammen - det burde i kunne fortælle folk uden problemer.
At blive drillet med at have en kæreste er bare fordi de andre er mega misundelige. :)
Synes du skal snakke med ham igen - gør dig fast i beslutningen.
Start med at jeres forældre ved det?"	null	null
Vil godt tale med en dreng	Pige   12 år	Der går en dreng i min parallel klasse som ser rimelig sød ud. Men jeg har enu ikke snarket med ham.	21-Apr-17	"Hej jeg er en dreng på 12 år og Jeg syntes du skal gå  Over og tale lidt med ham det kan drenge (eller det kan jeg godt lide) godt lide.

Efter det skal du være sammen med ham og sådan noget og så kan det ske helt af sig selv"	"Jeg synes helt klart at du skal gå hen og tale med ham. Det er jo en start på måske et venskab eller forhold, og som du selv skriver er han tit alene. Måske har han brug for noget selskab."	jeg synes helt klart at du skal gå hen og tale med ham. det kan jo være at i bliver gode venner og måske kærester men som du siger er han tit alene måske er du den han vender på.	Jeg har svært ved at snakke med drenge jeg er vilde med
forviret forelsket	Pige   12 år	"jeg tror jeg er ved at blive ret glad for en dreng jeg har skrevet med, men aldrig mødt rigtigt.( Jeg kender ham gennem fællesvenner)"	31-Aug-17	"Hej :) Der kan være mange grunde til at han måske ikke svare dig. Måske du skulle lade ham være og bare se hen af vejen hvor det går hen, hvis han måske ikke har svaret eller skrevet til dig i lang tid, kan du snakke med ham om det. At snakke om tingene er altid det bedste. Håber det kan hjælpe."	"Mit råd er, at du skal tage det lidt som det kommer, for man kan aldrig vide, hvad der sker. Måske er han træt af dig, eller måske er der en helt anden grund bag. I hvertfald synes jeg, at du skal se om han ikke skriver til dig på et tidspunkt. Og hvis der går lang tid, kan du jo prøve at skrive til ham igen, også se hvad der sker.

Du skal nok finde ud af noget, men kærlighed og forelskelse kan være virkelig komplicerede.

Men det skal nok gå."	"Hej prøv at give drengen lidt tid og vis det ikke virker skriv og spørg

Og husk at tænke dig om når du skriver med nogen du aldrig har mødt."	Lære ham let bedere at kende og så tag den der fra
At slå op	Pige   12 år	Jeg er en pige på 12 år min kæreste har slået op med mig hvad skal jeg gøre??	02 Juli 2017	Det er ikke dig der er  noget med	"Der er intet galt med dig. Hvis han ikke vil være kærester med dig mere er det hans problem. Du skal bare tænke på at der er andre søde fyre ude i verden. Jeg håber for hans skyld at han aldrig finder en sød kæreste, modsat dig der finder en du holder af og han holder ligeså meget af dig. Jeg håber du kan bruge mit råd."	Jeg forstå at du er ked af det men det er ikke din skyld. Det kan være ikke syntes at i havde noget tilfælde eller noget i den retning.	"Bare rolig, det har sikkert ikke noget med dig at gøre. Det er en meget ung alder at blive forelsket i. Så det er svært at vide om man er forelsket eller man bare tror man rigtig er forelsket."
Min eks skriver til mig	Pige   14 år	"For 4 uger siden, slog jeg op med min kæreste, fordi at han ikke gad mere."	25 Oktober 2017	"Det er bedst, at du finder ud af med dig selv, om du har lyst til at være sammen med ham igen. Det var da også rigtig tarveligt, at han har gået og snakket grimt om dig bag din ryg. Det er nok bedst at tage tingene stille og roligt og se, hvad der sker. Måske endda snakke med ham om, hvad du har hørt. Det hjælper altid i sidste ende at snakke om de ting, man går og tænker meget over."	"Det med, at han har skrevet til dig og søger din opmærksomhed kan muligvis være et tegn på noget. Det er svært at sige, når jeg ikke er ham og ikke kender ham, men når han netop gør det, forsøger han jo på en eller anden måde at komme i kontakt med dig, hvilket vil sige, at han nok stadig synes, du er lidt spændende, at du stadig fylder noget for ham - og det er selvfølgelig også klart, når I jo har været kærester. Hvis du er meget forvirret over tingene, synes jeg, du skal give dig selv tid. Tænk alt godt igennem. Hvad fik dig til at falde for ham? Hvorfor synes du, han er sød? Hvad får dig til at være i tvivl? Stil dig selv spørgsmål, du kan svare på, så du får et overblik. Det er dog også helt normalt at være forvirret, og det er også helt okay. Derfor nævnte jeg også det med at give tid, så du kan finde ud af, hvilke følelser, der er på spil og tanker omkring det her. En anden god ting, som den anden kommentar foreslog, vil være at snakke med ham. Spørg ham, om han stadig føler noget for dig, siden han har skrevet. Spørg ham, hvorfor han ikke gad mere, sig til ham, at det følte du. Så kan du få alle trådene løsnet, så du ikke skal være så forvirret mere. Håber du kunne bruge noget af dette, ellers held og lykke ❤"	Du kunne måske gå sammen med han igen	Vis du har følelser for ham så spørg ham det mindste du kan få er et nej er også selv igennem det
Ny pige	Dreng   12 år	og der er startet en ny pige i min klasse og jeg er forelsket i hende og jeg har snakket meget med hende ikke om det dog	06-Sep-17	"Hej O.

Jeg har været i samme sted. Hvis hun er sød, sjov og rar, at være sammen med, burde du nok gå efter det, hvis hun ikke kan lide dig på samme måde og bare gerne vil være venner, burde hun stadig kunne forstå dig.

Håber du kan bruge det..

Hilsen Lazuli"	Prøv måske at vær mere sammen med hende og vær sød mod hende	hej o	"Bare tag det lidt stille og roligt. Vær meget sammen med hende, og hvis hende hvad du føler, uden at overdrev det for meget. Også bare se tiden lidt an, så skal du nok finde ud af, om hun kan lide dig.

Jeg håber det bedste for dig! Ikke opgiv håbet med det sammen, kæmp lidt for hende."
Forelskelses fejl	Pige   12 år		01-Jan-16	"Hej.

Det er super skønt, at du er mega forelsket. Kæmpestort tillykke med det.

1. Forelskelse er en meget stor følelse, der er meget svær at have af gøre med. Der er ikke noget dårligt at sige, at du er mega forelsket og gerne vil spørge den heldige dreng, om han vil være kærester. Og måske står dig og din veninde i virkeligheden i præcis den samme situation. Du kan prøve at tale med din veninde om problemet på et tidspunkt, hvor I er alene. Det er måske ikke det, du er allermest for, men det kan hjælpe jer begge to med at få situationen et lidt bedre sted hen. Det er bare meget vigtigt, at I ikke skændes over det eller bliver uvenner. Hvis I taler om det uden det og misforståelser, vil det også gøre jeres venskab tættere. Forhåbentlig kan I finde en fælles løsning.

2. Jeg kan godt forstå din bekymring. Man bliver oftest forelsket i en person, der virker meget anderledes end en selv, men hen af vejen vil man faktisk hels være kærester med en, der minder meget om en selv. (Jeg ved et bare en ting eller to om kærlighed. ?) Sådan er mennesker bare. Det kan godt være, at han virker langt væk nu, men tæt på senere. Prøv også at lade være med at tro på det andre siger om, at han OVERHOVEDET IKKE er din type. De tager fejl. Når alt kommer til alt, er der ikke noget med typer. Og, de kan jo ikke vide med sikkerhed, hvad din type er. Og, hvis andre begynder at bagtale sig på grund af din forelskelse, så bed dem om at lade være. De vil nok forstå det. Det er jo ikke så rart at blive bagtalt.

3. Prøv heller at være ligeglad med, hvad din lærer synes, altså hvis det er negativt. Det lyder som om, at du er nyforelsket, og det er virkelig helt utroligt svært ikke at tænke så meget på den, man er forelsket i. Din lærer har nok også prøvet at være fotelsket, og hvis han/hun har det, ved han/hun, at nyforelskelsen også går over på et tidspunkt, så du er mere ""afslappet-forelsket"". Desuden må, skal og kan ingen bestemme, om du er forelsket eller ej.

Hel og lykke med det hele.

Venlig hilsen #1."	"Hejsa :)

1 - Uha, det er en rigtig svær en.. Hvis hun 'var den første' til at være vild med ham og fortælle det til dig, så ville jeg nok være meget forsigtig... Ellers skulle du måske vente lidt og prøve at finde ud af om han også synes om hende. Hvis han overhovedet ikke har det på samme måde med hende men i stedet er glad for dig, så ville jeg nok fortælle min veninde, at jeg ville være sammen med ham inden jeg gjorde det, bare så hun har hørt det fra dig selv først..."	Jeg syntes hvis du kan lide en dreng så selvom om det lyder dumt så fandt jeg ud af om han kunne lide mig jeg kunne ikke lide ham men jeg spurgte om hvis jeg spurgte ham om kæreste ville han sige måske og han lugtede ikke lunten men jeg fandt ud af at jeg ikke skulle spørge ham så	Hej pige
